dao_name,twitter_handle,twitter_url,market_cap,market_cap_change,volume,treasury,treasury_change,multiplier
ai16z,pmairca,https://twitter.com/pmairca,"$829,948,629.18",-2.30%,"$530,338.43","$20,420,285.65",+2.78%,213.49x
DRUGS,Big_Pharmai,https://twitter.com/Big_Pharmai,"$24,822,274.17",-28.20%,"$2,242,715.27","$415,548.34",-13.54%,4.35x
hAIyez,cryptohayesai,https://twitter.com/cryptohayesai,"$9,326,232.77",-21.13%,"$1,055,651.47","$247,476.78",+32.41%,1.09x
X,xcombinator_ai,https://twitter.com/xcombinator_ai,"$7,003,234.30",+70.66%,"$857,792.92","$100,235.98",+6.62%,1.05x
DJAI,DAOJonesAI,https://twitter.com/DAOJonesAI,"$4,756,986.53",+34.32%,"$452,414.98","$304,882.85",+37.74%,3.19x
SQR,sqrfund_ai,https://twitter.com/sqrfund_ai,"$3,198,187.75",-23.52%,"$102,669.95","$63,418.96",+4.13%,1.04x
TOPKEK,0xKDOT,https://twitter.com/0xKDOT,"$3,167,868.55",+16.03%,"$166,945.60","$378,315.11",+64.57%,5.00x
L8CAP,IAmJustLate,https://twitter.com/IAmJustLate,"$2,215,430.98",-8.83%,"$89,419.09","$544,863.19",+104.63%,5.71x
CLOSED,sAImAltman,https://twitter.com/sAImAltman,"$2,004,618.30",-12.72%,"$274,950.36","$91,728.11",+15.05%,0.96x
GIRLE,girleconomyai,https://twitter.com/girleconomyai,"$1,497,096.50",-8.93%,"$88,724.56","$158,536.01",+10.95%,1.66x
MONOPOLY,quangocracy,https://twitter.com/quangocracy,"$1,413,862.94",+12.69%,"$92,221.79",$15.97,+4.10%,0.00x
PJMORGEN,paulcr2009,https://twitter.com/paulcr2009,"$1,383,412.68",-14.18%,"$5,563.82","$90,981.46",+4.71%,0.95x
WAIC,paiulg,https://twitter.com/paiulg,"$1,065,494.04",+27.49%,"$11,568.48","$364,499.06",+3.83%,8.02x
kotopia,koto9x,https://twitter.com/koto9x,"$1,053,657.13",+0.00%,$135.53,"$992,917.84",+6.96%,1.04x
TAIGER,TaigerGlobal,https://twitter.com/TaigerGlobal,"$721,650.74",-16.86%,"$45,965.48","$99,945.20",+15.89%,1.05x
PAWG,qrimeCapital,https://twitter.com/qrimeCapital,"$637,940.68",-1.53%,"$25,987.60","$24,704.11",+167.39%,2.17x
INF,InfernoDAO_,https://twitter.com/InfernoDAO_,"$503,381.64",-1.94%,"$91,006.52","$21,258.78",+36.75%,0.93x
GFC,123skely,https://twitter.com/123skely,"$374,839.88",-17.14%,"$18,105.18","$228,664.86",+13.30%,21.86x
LEFT,0xjakee,https://twitter.com/0xjakee,"$304,654.16",-19.51%,"$9,621.37","$348,584.78",+19.83%,7.67x
DCG,DNS_ERR,https://twitter.com/DNS_ERR,"$254,904.77",+0.83%,$245.56,"$217,546.75",+6.65%,0.96x
N&P 500,NickMyRobot,https://twitter.com/NickMyRobot,"$137,469.97",-57.21%,"$93,064.61","$23,362.53",-15.45%,1.03x
AIYKYK,PandaSkiing,https://twitter.com/PandaSkiing,"$44,908.20",-0.05%,$1.06,"$22,762.62",+4.21%,0.59x
EMF,ElonMemeFund,https://twitter.com/ElonMemeFund,"$44,726.13",+0.00%,"$2,099.71","$63,183.86",+4.04%,1.64x
CAT,cited,https://twitter.com/cited,"$43,528.02",-15.59%,$738.66,"$17,108.50",-2.75%,1.50x
GFD,GoldenFishDAO,https://twitter.com/GoldenFishDAO,"$40,230.94",0.00%,,"$34,335.00",+4.10%,1.00x
ANSEM KIDS,PetitPrinceETH,https://twitter.com/PetitPrinceETH,"$39,983.49",0.00%,,"$5,109.40",-5.11%,0.15x
DEUS,TerpiCrypto,https://twitter.com/TerpiCrypto,"$39,978.37",0.00%,,$92.17,+9.20%,0.00x
FURRY,FurryFundCap,https://twitter.com/FurryFundCap,"$37,773.05",-9.64%,"$7,878.93","$58,458.25",+11.81%,2.55x
Bocchi,Enryu_gfh,https://twitter.com/Enryu_gfh,"$33,598.30",-5.68%,"$2,340.63","$29,924.59",-8.53%,1.30x
DIDDY,DiddyCapitalDAO,https://twitter.com/DiddyCapitalDAO,"$31,164.66",-5.93%,"$1,348.16","$11,050.56",+32.17%,2.43x
hen,fiatphobia,https://twitter.com/fiatphobia,"$27,860.19",0.00%,,"$27,249.25",+11.23%,1.19x
Autism,AnomanderLV,https://twitter.com/AnomanderLV,"$27,596.15",-1.02%,$857.15,"$40,233.71",+46.07%,2.53x
ebk.cap,wockyzombie,https://twitter.com/wockyzombie,"$27,488.17",-0.00%,"$1,414.89","$37,718.43",+157.83%,1.66x
SHIT,paradilf,https://twitter.com/paradilf,"$27,485.16",0.00%,,"$8,968.66",+4.18%,0.39x
shekel,jewishcapital,https://twitter.com/jewishcapital,"$25,843.54",-13.85%,$148.71,"$4,556.85",-3.41%,0.29x
SEQUOAI,ponmi1337,https://twitter.com/ponmi1337,"$24,268.47",-45.13%,"$1,011.47","$14,466.86",+4.17%,0.92x
NUGGET,btc_lyric,https://twitter.com/btc_lyric,"$22,298.64",+8.97%,"$6,450.71","$16,920.77",+50.21%,1.65x
PENGUIN,PenguinnDAO,https://twitter.com/PenguinnDAO,"$21,246.04",+0.02%,$307.20,$30.48,+4.11%,0.00x
AURA,Aura_DAO,https://twitter.com/Aura_DAO,"$20,938.62",+34.63%,$437.23,$1.41,+4.10%,0.00x
GAZA,BasedHonahJill,https://twitter.com/BasedHonahJill,"$19,800.06",-0.38%,$3.22,"$13,054.05",+4.15%,0.83x
RWOA,retardiocapllc,https://twitter.com/retardiocapllc,"$18,075.01",-12.83%,$120.03,"$7,131.50",+7.50%,1.05x
KEK,hardshelldev,https://twitter.com/hardshelldev,"$17,546.72",-22.99%,$175.13,"$5,681.06",+84.70%,1.00x
KEK,hardshelldev,https://twitter.com/hardshelldev,"$17,546.72",-22.99%,$175.13,"$5,681.06",+84.70%,1.00x
NORM,chop_ford,https://twitter.com/chop_ford,"$16,957.74",+5.96%,$175.23,"$1,243.97",-1.64%,0.27x
DAWN,rfparson,https://twitter.com/rfparson,"$15,546.23",-8.98%,$60.83,"$11,373.02",+4.16%,1.00x
Pepa,PepaLadys,https://twitter.com/PepaLadys,"$15,089.82",+0.09%,$57.61,"$12,569.87",+227.29%,1.11x
DAMP,dampindex,https://twitter.com/dampindex,"$14,263.19",+258.19%,"$12,484.39","$10,982.23",+35276.56%,0.24x
PSC,Horsehead_group,https://twitter.com/Horsehead_group,"$13,167.05",-17.21%,"$3,441.28","$9,287.72",+4.00%,0.97x
ANGEL,antoniusoctaviu,https://twitter.com/antoniusoctaviu,"$9,995.13",-0.49%,$1.92,$284.02,+10.98%,0.04x
RWO,retardiocapllc,https://twitter.com/retardiocapllc,,———,,,———,———
COCK,BlackCockAM,https://twitter.com/BlackCockAM,,———,,,———,———
NDAO,Nasdao_,https://twitter.com/Nasdao_,,———,,,———,———
HELADAO,BelieveInHela,https://twitter.com/BelieveInHela,,———,,,———,———
OSOL100,SuperMissO,https://twitter.com/SuperMissO,,———,,,———,———
,,#,,———,,,———,———
bAInance,BainanceLabs,https://twitter.com/BainanceLabs,,———,,,———,———
NGF,hardshelldev,https://twitter.com/hardshelldev,,———,,,———,———
